Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_1206_3216Metric,71.247000,-62.435000,270.000000,top
C2,4.7uF,C_1206_3216Metric,73.787000,-62.435000,270.000000,top
C3,10nF,C_0603_1608Metric,75.819000,-60.058000,90.000000,top
C4,10nF,C_0603_1608Metric,85.471000,-59.957000,270.000000,top
C5,10nF,C_0603_1608Metric,75.819000,-63.233000,270.000000,top
C6,4.7nF,C_0603_1608Metric,85.471000,-62.992000,270.000000,top
C7,33pF,C_0603_1608Metric,87.122000,-62.992000,270.000000,top
C8,47uF,C_1206_3216Metric,95.504000,-58.117000,270.000000,top
C9,47uF,C_1206_3216Metric,98.044000,-58.117000,270.000000,top
D1,SS14,D_SMA,82.804000,-56.642000,180.000000,top
D2,SS14,D_SMA,97.885000,-53.848000,180.000000,top
L1,6.8uH,Sunltech_SLO0630H,90.297000,-56.642000,0.000000,top
R3,47K,R_0603_1608Metric,86.283800,-65.278000,0.000000,top
R5,10k,R_0603_1608Metric,88.773000,-62.992000,270.000000,top
R6,1.5k,R_0603_1608Metric,90.424000,-62.992000,270.000000,top
R7,180R,R_0603_1608Metric,89.585800,-65.278000,180.000000,top
U1,TPS54331D,SOIC-8_3.9x4.9mm_P1.27mm,80.391000,-61.468000,270.000000,top
