Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,32.193,41.158,0,top
C2,100nF,C_0603_1608Metric,32.193,27.061,0,top
C3,100uF,CP_Elec_6.3x5.8,88.2,10.17,180,top
C4,100nF,C_0603_1608Metric,90.994,39.888,-90,top
C5,100nF,C_0603_1608Metric,88.949,14.547002,0,top
C6,10uF,C_1206_3216Metric,80,29.601,180,top
C7,100uF,CP_Elec_6.3x5.8,11.796,22.456,0,top
C9,100nF,C_0603_1608Metric,89.597,33.919,180,top
C10,10nF,C_0603_1608Metric,86.387,15.491,-90,top
C11,10nF,C_0603_1608Metric,77.243,15.698998,90,top
C12,10nF,C_0603_1608Metric,86.387,18.552,90,top
C14,4.7nF,C_0603_1608Metric,77.243,18.759998,90,top
C15,33pF,C_0603_1608Metric,75.719,18.759998,90,top
C16,47uF,C_1206_3216Metric,68.099,19.588998,90,top
C17,47uF,C_1206_3216Metric,70.639,19.588998,90,top
C18,1uF,C_0603_1608Metric,60.26,11.694,90,top
C19,1uF,C_0603_1608Metric,53.783,11.694,90,top
C20,100nF,C_0603_1608Metric,74.915,3.914,180,top
D1,SS14,D_SMA,84.39,25.6502,90,top
D2,SS14,D_SMA,79.564,12.396998,0,top
D4,SS14,D_SMA,63.358,13.7184,90,top
J1,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,0.41,45.33,-90,top
J2,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,0.41,35.17,-90,top
J3,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,0.41,25.01,-90,top
J4,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,0.41,14.85,-90,top
J5,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,0.41,4.69,-90,top
J6,XUNPU TYPEC-304S-ACP16 ,USB_C_Receptacle_XUNPU_TYPEC-304S-ACP16,97.75,37.5,90,top
J7,Barrel_Jack_Switch,BarrelJack_Horizontal,88.7,25,180,top
J8,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,99.59,12.49,90,top
J9,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,73.808,45.6,-90,top
J10,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,86,45.59,-90,top
J11,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,61.616,45.6,-90,top
J12,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,34.122,4.4,90,top
J13,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,46.314,4.437,90,top
J14,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,58.5,4.437,90,top
J15,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,21.93,4.4,90,top
L1,6.8uH,Sunltech_SLO0630H,70.6732,13.2358,0,top
Q1,AO3400A,SOT-23,10.9055,41.92,180,top
Q2,AO3400A,SOT-23,10.857,37.729,180,top
Q3,AO3400A,SOT-23,10.8585,30.645,180,top
Q4,AO3400A,SOT-23,10.857,16.106,180,top
Q5,AO3400A,SOT-23,10.9332,11.694,180,top
Q6,S8050_correctpins,SOT-23,74.928,32.1415,180,top
Q7,S8050_correctpins,SOT-23,74.928,37.284,180,top
R1,5.1K,R_0603_1608Metric,93.026,45.73,90,top
R2,5.1K,R_0603_1608Metric,95.375,30.49,180,top
R3,470R,R_0603_1608Metric,78.675,35.76,-90,top
R4,12k,R_0603_1608Metric,74.674,29.6015,180,top
R5,12k,R_0603_1608Metric,74.674,34.744,180,top
R6,12k,R_0603_1608Metric,61.657,33.982,90,top
R7,12k,R_0603_1608Metric,63.181,33.982,90,top
R8,12k,R_0603_1608Metric,56.831,33.157,180,top
R9,12k,R_0603_1608Metric,56.831,31.125,180,top
R10,12k,R_0603_1608Metric,32.193,37.094,0,top
R11,12k,R_0603_1608Metric,32.193,39.126,0,top
R12,12k,R_0603_1608Metric,56.831,29.093,180,top
R13,47K,R_0603_1608Metric,76.481,21.045998,180,top
R14,10k,R_0603_1608Metric,72.671,18.734998,90,top
R15,1.5k,R_0603_1608Metric,74.195,18.734998,90,top
R16,220R,R_0603_1608Metric,73.433,21.045998,0,top
R17,180R,R_0603_1608Metric,26.669,9.662,0,top
R18,12k,R_0603_1608Metric,19.747,9.916,-90,top
R19,3k,R_0603_1608Metric,19.747,13.218,-90,top
R20,33R,R_0603_1608Metric,23.621,9.662,180,top
R21,100R,R_0603_1608Metric,14.6416,41.0056,0,top
R22,100R,R_0603_1608Metric,14.667,36.84,0,top
R23,100R,R_0603_1608Metric,14.6939,29.8068,0,top
R24,100R,R_0603_1608Metric,14.6924,15.217,0,top
R25,100R,R_0603_1608Metric,14.6416,10.8304,0,top
R26,12k,R_0603_1608Metric,14.5908,42.8852,180,top
R27,12k,R_0603_1608Metric,14.667,38.618,180,top
R28,12k,R_0603_1608Metric,14.6939,31.534,180,top
R29,12k,R_0603_1608Metric,14.7046,16.9442,180,top
R30,12k,R_0603_1608Metric,14.6294,12.5068,180,top
U1,ESP-12E,ESP-12E_SMD,44.95,37.392,0,top
