Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,132.193000,-88.842000,0.000000,top
C2,100nF,C_0603_1608Metric,132.193000,-102.939000,0.000000,top
C3,100uF,CP_Elec_6.3x5.8,188.200000,-119.830000,180.000000,top
C4,100nF,C_0603_1608Metric,190.994000,-90.112000,-90.000000,top
C5,100nF,C_0603_1608Metric,188.949000,-115.452998,0.000000,top
C6,10uF,C_1206_3216Metric,180.000000,-100.399000,180.000000,top
C7,4.7uF,C_1206_3216Metric,190.959000,-112.210000,90.000000,top
C8,4.7uF,C_1206_3216Metric,188.419000,-112.210000,90.000000,top
C9,100nF,C_0603_1608Metric,189.597000,-96.081000,180.000000,top
C10,10nF,C_0603_1608Metric,186.387000,-114.509000,-90.000000,top
C11,10nF,C_0603_1608Metric,177.243000,-114.301002,90.000000,top
C12,10nF,C_0603_1608Metric,186.387000,-111.448000,90.000000,top
C14,4.7nF,C_0603_1608Metric,177.243000,-111.240002,90.000000,top
C15,33pF,C_0603_1608Metric,175.719000,-111.240002,90.000000,top
C16,47uF,C_1206_3216Metric,168.099000,-110.411002,90.000000,top
C17,47uF,C_1206_3216Metric,170.639000,-110.411002,90.000000,top
C18,1uF,C_0603_1608Metric,160.260000,-118.306000,90.000000,top
C19,1uF,C_0603_1608Metric,153.783000,-118.306000,90.000000,top
C20,100nF,C_0603_1608Metric,174.484000,-125.164000,90.000000,top
C21,1uF,C_0603_1608Metric,107.885200,-89.197600,-90.000000,top
C22,1uF,C_0603_1608Metric,108.698000,-97.351000,0.000000,top
C23,1uF,C_0603_1608Metric,108.698000,-107.485600,0.000000,top
C24,1uF,C_0603_1608Metric,108.698000,-115.359600,0.000000,top
C25,1uF,C_0603_1608Metric,110.526800,-120.998400,0.000000,top
D1,SS14,D_SMA,184.390000,-104.349800,90.000000,top
D2,SS14,D_SMA,179.564000,-117.603002,0.000000,top
J1,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,104.410000,-82.130000,-90.000000,top
J2,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,104.410000,-92.290000,-90.000000,top
J3,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,104.410000,-102.450000,-90.000000,top
J4,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,104.410000,-112.610000,-90.000000,top
J5,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,104.410000,-122.770000,-90.000000,top
J6,XUNPU TYPEC-304S-ACP16 ,USB_C_Receptacle_XUNPU_TYPEC-304S-ACP16,197.750000,-92.500000,90.000000,top
J7,Barrel_Jack_Switch,BarrelJack_Horizontal,188.700000,-105.000000,180.000000,top
J8,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,195.590000,-120.050000,90.000000,top
J9,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,177.618000,-84.400000,-90.000000,top
J10,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,189.810000,-84.410000,-90.000000,top
J11,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,165.426000,-84.400000,-90.000000,top
J12,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,130.312000,-125.600000,90.000000,top
J13,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,142.504000,-125.563000,90.000000,top
J14,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,154.690000,-125.563000,90.000000,top
J15,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,118.120000,-125.600000,90.000000,top
L1,6.8uH,Sunltech_SLO0630H,170.674000,-116.782000,180.000000,top
Q1,AO3400A,SOT-23,110.905500,-88.080000,180.000000,top
Q2,AO3400A,SOT-23,110.857000,-92.271000,180.000000,top
Q3,AO3400A,SOT-23,110.857000,-102.431000,180.000000,top
Q4,AO3400A,SOT-23,110.857000,-112.591000,180.000000,top
Q5,AO3400A,SOT-23,110.933200,-118.306000,180.000000,top
Q6,S8050_correctpins,SOT-23,174.928000,-97.858500,180.000000,top
Q7,S8050_correctpins,SOT-23,174.928000,-92.716000,180.000000,top
R1,5.1K,R_0603_1608Metric,193.026000,-84.270000,90.000000,top
R2,5.1K,R_0603_1608Metric,195.375000,-99.510000,180.000000,top
R3,470R,R_0603_1608Metric,178.675000,-94.240000,-90.000000,top
R4,12k,R_0603_1608Metric,174.674000,-100.398500,180.000000,top
R5,12k,R_0603_1608Metric,174.674000,-95.256000,180.000000,top
R6,12k,R_0603_1608Metric,161.657000,-96.018000,90.000000,top
R7,12k,R_0603_1608Metric,163.181000,-96.018000,90.000000,top
R8,12k,R_0603_1608Metric,156.831000,-96.843000,180.000000,top
R9,12k,R_0603_1608Metric,156.831000,-98.875000,180.000000,top
R10,12k,R_0603_1608Metric,132.193000,-92.906000,0.000000,top
R11,12k,R_0603_1608Metric,132.193000,-90.874000,0.000000,top
R12,12k,R_0603_1608Metric,156.831000,-100.907000,180.000000,top
R13,47K,R_0603_1608Metric,176.481000,-108.954002,180.000000,top
R14,10k,R_0603_1608Metric,172.671000,-111.265002,90.000000,top
R15,1.8k,R_0603_1608Metric,174.195000,-111.265002,90.000000,top
R16,100R,R_0603_1608Metric,173.433000,-108.954002,0.000000,top
R17,180R,R_0603_1608Metric,126.669000,-120.338000,0.000000,top
R18,12k,R_0603_1608Metric,119.747000,-120.084000,-90.000000,top
R19,3k,R_0603_1608Metric,119.747000,-116.782000,-90.000000,top
R20,33R,R_0603_1608Metric,123.621000,-120.338000,180.000000,top
R21,100R,R_0603_1608Metric,114.641600,-88.994400,0.000000,top
R22,100R,R_0603_1608Metric,114.667000,-93.160000,0.000000,top
R23,100R,R_0603_1608Metric,114.692400,-103.269200,0.000000,top
R24,100R,R_0603_1608Metric,114.692400,-113.480000,0.000000,top
R25,100R,R_0603_1608Metric,114.641600,-119.169600,0.000000,top
R26,12k,R_0603_1608Metric,114.590800,-87.114800,180.000000,top
R27,12k,R_0603_1608Metric,114.667000,-91.382000,180.000000,top
R28,12k,R_0603_1608Metric,114.692400,-101.542000,180.000000,top
R29,12k,R_0603_1608Metric,114.704600,-111.752800,180.000000,top
R30,12k,R_0603_1608Metric,114.629400,-117.493200,180.000000,top
U1,ESP-12E,ESP-12E_SMD,137.958000,-88.900000,0.000000,top
U2,CP2102N-A01-GQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,184.263000,-92.750000,180.000000,top
U3,TPS54331D,SOIC-8_3.9x4.9mm_P1.27mm,181.850000,-112.874000,180.000000,top
U4,TLV75533PDBVR,SOT-23-5,156.990000,-118.306000,180.000000,top
U5,PCF8574A,TSSOP-20_4.4x6.5mm_P0.65mm,168.896000,-123.894000,0.000000,top
