Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,32.193000,41.158000,0.000000,top
C2,100nF,C_0603_1608Metric,32.193000,27.061000,0.000000,top
C3,100uF,CP_Elec_6.3x5.8,88.200000,10.170000,0.000000,top
C4,100nF,C_0603_1608Metric,90.994000,39.888000,-90.000000,top
C5,100nF,C_0603_1608Metric,88.949000,14.547002,0.000000,top
C6,10uF,C_1206_3216Metric,80.000000,29.601000,180.000000,top
C7,4.7uF,C_1206_3216Metric,90.959000,17.790000,90.000000,top
C8,4.7uF,C_1206_3216Metric,88.419000,17.790000,90.000000,top
C9,100nF,C_0603_1608Metric,89.597000,33.919000,180.000000,top
C10,10nF,C_0603_1608Metric,86.387000,15.491000,-90.000000,top
C11,10nF,C_0603_1608Metric,77.243000,15.698998,90.000000,top
C12,10nF,C_0603_1608Metric,86.387000,18.552000,90.000000,top
C14,4.7nF,C_0603_1608Metric,77.243000,18.759998,90.000000,top
C15,33pF,C_0603_1608Metric,75.719000,18.759998,90.000000,top
C16,47uF,C_1206_3216Metric,68.099000,19.588998,90.000000,top
C17,47uF,C_1206_3216Metric,70.639000,19.588998,90.000000,top
C18,1uF,C_0603_1608Metric,60.260000,11.694000,90.000000,top
C19,1uF,C_0603_1608Metric,53.783000,11.694000,90.000000,top
C20,100nF,C_0603_1608Metric,74.484000,4.836000,90.000000,top
C21,1uF,C_0603_1608Metric,7.885200,40.802400,-90.000000,top
C22,1uF,C_0603_1608Metric,8.698000,32.649000,0.000000,top
C23,1uF,C_0603_1608Metric,8.698000,22.514400,0.000000,top
C24,1uF,C_0603_1608Metric,8.698000,14.640400,0.000000,top
C25,1uF,C_0603_1608Metric,10.526800,9.001600,0.000000,top
D1,SS14,D_SMA,84.390000,25.650200,90.000000,top
D2,SS14,D_SMA,79.564000,12.396998,0.000000,top
J1,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,4.410000,47.870000,-90.000000,top
J2,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,4.410000,37.710000,-90.000000,top
J3,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,4.410000,27.550000,-90.000000,top
J4,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,4.410000,17.390000,-90.000000,top
J5,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,4.410000,7.230000,-90.000000,top
J6,XUNPU TYPEC-304S-ACP16 ,USB_C_Receptacle_XUNPU_TYPEC-304S-ACP16,97.750000,37.500000,0.000000,top
J7,Barrel_Jack_Switch,BarrelJack_Horizontal,88.700000,25.000000,180.000000,top
J8,CiKe2PinSock,Cixi_Kefa_Elec_KF2EDGR-5.08-2P,95.590000,9.950000,90.000000,top
J9,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,77.618000,45.600000,-90.000000,top
J10,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,89.810000,45.590000,-90.000000,top
J11,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,65.426000,45.600000,-90.000000,top
J12,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,30.312000,4.400000,90.000000,top
J13,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,42.504000,4.437000,90.000000,top
J14,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,54.690000,4.437000,90.000000,top
J15,CiKe4pinSock,CixiKefa_KF2EDGV_2.54_4xSocket,18.120000,4.400000,90.000000,top
L1,6.8uH,Sunltech_SLO0630H,70.674000,13.218000,180.000000,top
Q1,AO3400A,SOT-23,10.905500,41.920000,0.000000,top
Q2,AO3400A,SOT-23,10.857000,37.729000,0.000000,top
Q3,AO3400A,SOT-23,10.857000,27.569000,0.000000,top
Q4,AO3400A,SOT-23,10.857000,17.409000,0.000000,top
Q5,AO3400A,SOT-23,10.933200,11.694000,0.000000,top
Q6,S8050_correctpins,SOT-23,74.928000,32.141500,0.000000,top
Q7,S8050_correctpins,SOT-23,74.928000,37.284000,0.000000,top
R1,5.1K,R_0603_1608Metric,93.026000,45.730000,90.000000,top
R2,5.1K,R_0603_1608Metric,95.375000,30.490000,180.000000,top
R3,470R,R_0603_1608Metric,78.675000,35.760000,-90.000000,top
R4,12k,R_0603_1608Metric,74.674000,29.601500,180.000000,top
R5,12k,R_0603_1608Metric,74.674000,34.744000,180.000000,top
R6,12k,R_0603_1608Metric,61.657000,33.982000,90.000000,top
R7,12k,R_0603_1608Metric,63.181000,33.982000,90.000000,top
R8,12k,R_0603_1608Metric,56.831000,33.157000,180.000000,top
R9,12k,R_0603_1608Metric,56.831000,31.125000,180.000000,top
R10,12k,R_0603_1608Metric,32.193000,37.094000,0.000000,top
R11,12k,R_0603_1608Metric,32.193000,39.126000,0.000000,top
R12,12k,R_0603_1608Metric,56.831000,29.093000,180.000000,top
R13,47K,R_0603_1608Metric,76.481000,21.045998,180.000000,top
R14,10k,R_0603_1608Metric,72.671000,18.734998,90.000000,top
R15,1.8k,R_0603_1608Metric,74.195000,18.734998,90.000000,top
R16,100R,R_0603_1608Metric,73.433000,21.045998,0.000000,top
R17,180R,R_0603_1608Metric,26.669000,9.662000,0.000000,top
R18,12k,R_0603_1608Metric,19.747000,9.916000,-90.000000,top
R19,3k,R_0603_1608Metric,19.747000,13.218000,-90.000000,top
R20,33R,R_0603_1608Metric,23.621000,9.662000,180.000000,top
R21,100R,R_0603_1608Metric,14.641600,41.005600,0.000000,top
R22,100R,R_0603_1608Metric,14.667000,36.840000,0.000000,top
R23,100R,R_0603_1608Metric,14.692400,26.730800,0.000000,top
R24,100R,R_0603_1608Metric,14.692400,16.520000,0.000000,top
R25,100R,R_0603_1608Metric,14.641600,10.830400,0.000000,top
R26,12k,R_0603_1608Metric,14.590800,42.885200,180.000000,top
R27,12k,R_0603_1608Metric,14.667000,38.618000,180.000000,top
R28,12k,R_0603_1608Metric,14.692400,28.458000,180.000000,top
R29,12k,R_0603_1608Metric,14.704600,18.247200,180.000000,top
R30,12k,R_0603_1608Metric,14.629400,12.506800,180.000000,top
U1,ESP-12E,ESP-12E_SMD,37.958000,41.100000,270.000000,top
U2,CP2102N-A01-GQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,84.263000,37.250000,90.000000,top
U3,TPS54331D,SOIC-8_3.9x4.9mm_P1.27mm,81.850000,17.126000,90.000000,top
U4,TLV75533PDBVR,SOT-23-5,56.990000,11.694000,0.000000,top
U5,PCF8574A,TSSOP-20_4.4x6.5mm_P0.65mm,68.896000,6.106000,270.000000,top
